date,y
2013-02-08,92.53
2013-02-11,92.47
2013-02-12,91.99
2013-02-13,93.22
2013-02-14,93.47
2013-02-15,92.61
2013-02-19,93.36
2013-02-20,92.33
2013-02-21,91.79
2013-02-22,92.65
2013-02-25,90.42
2013-02-26,91.49
2013-02-27,92.98
2013-02-28,92.72
2013-03-01,93.77
2013-03-04,93.74
2013-03-05,94.96
2013-03-06,94.62
2013-03-07,94.26
2013-03-08,94.48
2013-03-11,94.71
2013-03-12,94.24
2013-03-13,94.24
2013-03-14,94.66
2013-03-15,94.82
2013-03-18,93.97
2013-03-19,93.99
2013-03-20,94.78
2013-03-21,93.11
2013-03-22,93.26
2013-03-25,92.55
2013-03-26,93.26
2013-03-27,93.16
2013-03-28,93.91
2013-04-01,93.7
2013-04-02,95.5
2013-04-03,94.29
2013-04-04,94.57
2013-04-05,92.39
2013-04-08,93.03
2013-04-09,93.15
2013-04-10,95.12
2013-04-11,95.46
2013-04-12,94.33
2013-04-15,91.31
2013-04-16,91.69
2013-04-17,89.85
2013-04-18,88.24
2013-04-19,88.45
2013-04-22,89.23
2013-04-23,92.1
2013-04-24,92.48
2013-04-25,92.88
2013-04-26,92.3
2013-04-29,92.45
2013-04-30,92.4
2013-05-01,92.38
2013-05-02,92.63
2013-05-03,93.0
2013-05-06,93.53
2013-05-07,94.47
2013-05-08,95.8
2013-05-09,96.42
2013-05-10,96.91
2013-05-13,96.5
2013-05-14,97.75
2013-05-15,98.49
2013-05-16,97.07
2013-05-17,98.0
2013-05-20,97.53
2013-05-21,98.08
2013-05-22,96.7
2013-05-23,97.17
2013-05-24,97.79
2013-05-28,99.27
2013-05-29,97.57
2013-05-30,97.72
2013-05-31,96.71
2013-06-03,97.01
2013-06-04,96.59
2013-06-05,96.22
2013-06-06,97.33
2013-06-07,98.38
2013-06-10,98.33
2013-06-11,97.18
2013-06-12,97.18
2013-06-13,99.02
2013-06-14,98.6
2013-06-17,100.21
2013-06-18,101.9
2013-06-19,100.22
2013-06-20,97.36
2013-06-21,99.26
2013-06-24,97.63
2013-06-25,99.73
2013-06-26,99.42
2013-06-27,100.38
2013-06-28,100.05
2013-07-01,102.37
2013-07-02,100.36
2013-07-03,100.47
2013-07-05,102.01
2013-07-08,101.7
2013-07-09,102.19
2013-07-10,104.28
2013-07-11,104.49
2013-07-12,104.53
2013-07-15,104.64
2013-07-16,103.5
2013-07-17,103.25
2013-07-18,104.63
2013-07-19,104.74
2013-07-22,105.41
2013-07-23,99.17
2013-07-24,100.31
2013-07-25,100.77
2013-07-26,100.16
2013-07-29,99.63
2013-07-30,100.51
2013-07-31,100.94
2013-08-01,102.93
2013-08-02,102.09
2013-08-05,102.64
2013-08-06,102.22
2013-08-07,101.89
2013-08-08,102.97
2013-08-09,103.41
2013-08-12,103.47
2013-08-13,103.53
2013-08-14,102.89
2013-08-15,99.76
2013-08-16,98.47
2013-08-19,98.16
2013-08-20,98.97
2013-08-21,98.59
2013-08-22,100.19
2013-08-23,99.63
2013-08-26,99.44
2013-08-27,98.45
2013-08-28,98.53
2013-08-29,98.93
2013-08-30,98.85
2013-09-03,99.98
2013-09-04,101.16
2013-09-05,101.7
2013-09-06,101.62
2013-09-09,103.09
2013-09-10,103.89
2013-09-11,104.93
2013-09-12,104.41
2013-09-13,104.19
2013-09-16,105.75
2013-09-17,105.98
2013-09-18,106.61
2013-09-19,106.44
2013-09-20,106.54
2013-09-23,105.96
2013-09-24,106.66
2013-09-25,106.72
2013-09-26,107.73
2013-09-27,107.28
2013-09-30,106.21
2013-10-01,105.7
2013-10-02,105.65
2013-10-03,104.59
2013-10-04,105.0
2013-10-07,103.81
2013-10-08,102.74
2013-10-09,102.34
2013-10-10,103.87
2013-10-11,104.48
2013-10-14,104.18
2013-10-15,103.11
2013-10-16,104.11
2013-10-17,106.35
2013-10-18,106.48
2013-10-21,106.21
2013-10-22,99.83
2013-10-23,101.82
2013-10-24,101.29
2013-10-25,101.99
2013-10-28,102.24
2013-10-29,102.15
2013-10-30,100.98
2013-10-31,100.92
2013-11-01,100.58
2013-11-04,100.8
2013-11-05,99.47
2013-11-06,99.69
2013-11-07,98.45
2013-11-08,100.12
2013-11-11,99.66
2013-11-12,99.52
2013-11-13,100.05
2013-11-14,100.62
2013-11-15,102.12
2013-11-18,101.25
2013-11-19,100.5
2013-11-20,100.4
2013-11-21,101.38
2013-11-22,101.09
2013-11-25,100.66
2013-11-26,99.67
2013-11-27,99.9
2013-11-29,99.53
2013-12-02,99.58
2013-12-03,99.34
2013-12-04,99.2
2013-12-05,98.49
